chrom,ancestry,start,end,n_windows,dist,ages
NC_091013.1,1,443346,7578791,11,7135445,1.96282113321543
NC_091014.1,0,2154167,4844365,3,2690198,5.20616037960639
NC_091015.1,1,135397,1345062,43,1209665,11.5780833874638
NC_091016.1,1,2326276,3895425,2,1569149,8.92560377688566
NC_091017.1,1,808112,5354660,31,4546548,3.08049144997399
NC_091018.1,1,80755,2480223,137,2399468,5.83696146016382
NC_091019.1,1,2621861,4047397,1,1425536,9.82479729792609
NC_091020.1,2,4982066,6274569,2,1292503,10.8360307410477
NC_091021.1,0,1148877,7581758,27,6432881,2.1771896978813
NC_091022.1,0,626921,7498579,23,6871658,2.03816928038275
NC_091023.1,1,41158,621532,2,580374,24.1320290724539
NC_091024.1,0,4019736,9473542,2,5453806,2.56804188504255
NC_091025.1,0,109567,4830726,26,4721159,2.96656016899587
NC_091026.1,0,871977,4135978,9,3264001,4.29093074447476
NC_091027.1,0,1996785,19015697,460,17018912,0.822943454957424
NC_091028.1,0,4055752,14587216,9,10531464,1.3298817942972
NC_091029.1,0,68910,9676235,6,9607325,1.45780456483947
NC_091030.1,1,715410,6087339,3,5371929,2.60718305117144
NC_091031.1,1,22132,785800,205,763668,18.3399098049105
NC_091032.1,0,2441746,11192329,7,8750583,1.60053361483416
NC_091033.1,0,7864863,15795946,13,7931083,1.7659129580281
NC_091034.1,1,492062,3731011,1,3238949,4.32411941061633
NC_091035.1,0,213852,3989950,5,3776098,3.70901450145
NC_091036.1,2,244537,1974823,2,1730286,8.09438569166968
NC_091037.1,0,697797,1705659,2,1007862,13.8963491439268
NC_091039.1,1,3077158,7457841,3,4380683,3.19712753488357
NC_091040.1,1,481640,3149845,2,2668205,5.24907278147532
NC_091041.1,0,965127,6614915,5,5649788,2.47896066912535
NC_138418.1,1,521407,1422059,40,900652,15.5505147836194
NW_027183463.1,0,406599,431771,12,25172,556.396084573985
NW_027183467.1,1,120149,780644,41,660495,21.2047059264587
NW_027183569.1,0,111591,170315,4,58724,238.498778027661
NW_027183905.1,0,425036,608084,37,183048,76.5132765225316
NW_027183949.1,1,849921,914978,30,65057,215.282017936523
NW_027183981.1,0,848094,2565759,207,1717665,8.15386134135373
NW_027184063.1,0,907151,909453,10,2302,6084.10175538504
NW_027184064.1,1,144147,1561452,75,1417305,9.88185481663887
NW_027184086.1,0,259851,1763782,89,1503931,9.31266277568343
NW_027184087.1,0,25151,1247311,77,1222160,11.4597125097339
NW_027184088.1,0,1698,632739,1,631041,22.194440996538
NC_091013.1,0,7578791,10457579,4,2878788,4.86510373146489
NC_091014.1,1,4844365,6987666,3,2143301,6.53459418014379
NC_091015.1,0,1345062,12303645,13,10958583,1.27804865290488
NC_091016.1,0,3895425,4764628,1,869203,16.1131545115426
NC_091017.1,0,5354660,7547346,2,2192686,6.38741809857698
NC_091018.1,0,2480223,6882095,2,4401872,3.18173773360433
NC_091019.1,0,4047397,13672148,2890,9624751,1.45516515085911
NC_091020.1,1,6274569,9414159,31,3139590,4.46096536200471
NC_091021.1,1,7581758,8961000,2,1379242,10.1545647833349
NC_091022.1,1,7498579,7723714,8,225135,62.2097951935344
NC_091023.1,0,621532,3986892,24,3365360,4.16169510569341
NC_091024.1,1,9473542,9578007,1,104465,134.069805589397
NC_091025.1,1,4830726,5648126,2,817400,17.1343310997019
NC_091026.1,1,4135978,7756366,11,3620388,3.86853625658254
NC_091027.1,1,19015697,19097250,8,81553,171.736199047201
NC_091028.1,1,14587216,15068983,2,481767,29.0713192080328
NC_091029.1,1,9676235,10432820,153,756585,18.5116044342623
NC_091030.1,0,6087339,11088074,41,5000735,2.8007087439939
NC_091031.1,0,785800,2489198,4,1703398,8.22215491675836
NC_091034.1,0,3731011,8910370,1,5179359,2.7041188380447
NC_091036.1,0,1974823,2410312,1,435489,32.1606337723717
NC_091040.1,0,3149845,3503985,1,354140,39.5482076040446
NC_091041.1,1,6614915,6674261,14,59346,235.999094141077
NC_138418.1,0,1422059,3495498,31,2073439,6.75476936668808
NW_027183463.1,1,431771,445135,3,13364,1048.00974565223
NW_027183569.1,1,170315,199492,6,29177,480.022011889377
NW_027184086.1,1,1763782,1976451,73,212669,65.8563412669282
NC_091013.1,1,10457579,12754644,5,2297065,6.09717280133403
NC_091014.1,0,6987666,17785449,22,10797783,1.29708128426885
NC_091015.1,1,12303645,14124030,6,1820385,7.69375832084771
NC_091016.1,1,4764628,5544475,1,779847,17.9594231187609
NC_091017.1,1,7547346,8729020,3,1181674,11.8523401893385
NC_091018.1,1,6882095,12546167,684,5664072,2.47270907589034
NC_091019.1,1,13672148,14132809,2,460661,30.4032732115294
NC_091020.1,0,9414159,10768744,1,1354585,10.3394044972419
NC_091021.1,2,8961000,9965048,1,1004048,13.9491361378105
NC_091022.1,0,7723714,10849373,22,3125659,4.48084779590364
NC_091023.1,1,3986892,7366041,19,3379149,4.14471283772818
NC_091024.1,0,9578007,10923805,10,1345798,10.4069126576918
NC_091025.1,0,5648126,8326573,4,2678447,5.22900107446455
NC_091026.1,0,7756366,8799417,5,1043051,13.4275334963452
NC_091028.1,2,15068983,16550493,1,1481510,9.45359953081407
NC_091029.1,0,10432820,12266223,1225,1833403,7.63912911721883
NC_091030.1,1,11088074,11116703,25,28629,489.210319637303
NC_091031.1,1,2489198,2912129,1,422931,33.1155726132545
NC_091034.1,1,8910370,9084248,3,173878,80.5484433964985
NC_091036.1,1,2410312,4795952,645,2385640,5.87079452092368
NC_091040.1,1,3503985,4813409,78,1309424,10.6960023956307
NC_091041.1,2,6674261,6715971,24,41710,335.785237134892
NC_138418.1,1,3495498,4233937,6,738439,18.9664985745557
NW_027183463.1,0,445135,561250,11,116115,120.61837179431
NW_027183569.1,0,199492,201135,2,1643,8524.40793724672
NW_027184086.1,0,1976451,2013500,2,37049,378.029157086463
NC_091013.1,0,12754644,27104128,46,14349484,0.976035252619283
NC_091014.1,1,17785449,18417699,2,632250,22.1520003810144
NC_091015.1,0,14124030,16272998,10,2148968,6.5173619341453
NC_091016.1,0,5544475,6149221,14,604746,23.1594789232113
NC_091017.1,0,8729020,9238314,2,509294,27.5000338525417
NC_091018.1,2,12546167,15384958,4,2838791,4.93365036062759
NC_091019.1,0,14132809,14859163,1,726354,19.2820611449739
NC_091020.1,1,10768744,20102904,27,9334160,1.50046734156007
NC_091021.1,1,9965048,11215034,14,1249986,11.2046072843187
NC_091022.1,1,10849373,11902865,1,1053492,13.2944552411374
NC_091023.1,0,7366041,26814700,130,19448659,0.720132027657864
NC_091024.1,1,10923805,11778904,1,855099,16.3789248272964
NC_091025.1,1,8326573,9651184,2,1324611,10.5733700240269
NC_091026.1,1,8799417,13583783,2,4784366,2.92736848328417
NC_091029.1,1,12266223,12362133,14,95910,146.028591814163
NC_091030.1,0,11116703,11123722,3,7019,1995.38427709024
NC_091031.1,0,2912129,12476136,8,9564007,1.46440735989595
NC_091036.1,0,4795952,8054316,117,3258364,4.29835409453835
NC_091041.1,1,6715971,6820399,66,104428,134.117308010269
NC_138418.1,0,4233937,8689178,60,4455241,3.14362393434976
NW_027184086.1,1,2013500,2179192,56,165692,84.5279327963713
NC_091013.1,1,27104128,28022301,3,918173,15.2537726995853
NC_091014.1,0,18417699,20173797,5,1756098,7.9754103933245
NC_091015.1,1,16272998,17358929,7,1085931,12.8973224273884
NC_091016.1,1,6149221,8078228,1,1929007,7.26052432204567
NC_091017.1,1,9238314,9371592,2,133278,105.08562734207
NC_091018.1,1,15384958,16265349,1,880391,15.9083887055824
NC_091019.1,1,14859163,15160557,1,301394,46.4694129309023
NC_091020.1,0,20102904,20813638,1,710734,19.705828398383
NC_091021.1,0,11215034,14939806,44,3724772,3.76012336886563
NC_091022.1,0,11902865,16694603,16,4791738,2.92286478119137
NC_091024.1,0,11778904,15752213,45,3973309,3.52492148002996
NC_091025.1,0,9651184,9821542,1,170358,82.2127651234246
NC_091026.1,0,13583783,18145521,7,4561738,3.07023381020487
NC_091029.1,0,12362133,14256064,4,1893931,7.39499075779232
NC_138418.1,1,8689178,8735696,7,46518,301.079200328827
NW_027184086.1,0,2179192,2204760,5,25568,547.778560735934
NC_091013.1,0,28022301,34514129,97,6491828,2.1574204123856
NC_091014.1,1,20173797,31245900,59,11072103,1.26494508232956
NC_091015.1,0,17358929,49281955,143,31923026,0.438730408605261
NC_091016.1,0,8078228,15117174,1751,7038946,1.98973003073136
NC_091017.1,0,9371592,9676409,2,304817,45.9475758927368
NC_091019.1,0,15160557,20192184,36,5031627,2.78351361118309
NC_091020.1,2,20813638,20956951,1,143313,97.727367656084
NC_091021.1,1,14939806,15163232,2,223426,62.685641961528
NC_091022.1,1,16694603,19998943,3,3304340,4.23854755893654
NC_091024.1,1,15752213,15800678,2,48465,288.983848981664
NC_091025.1,1,9821542,10834218,2,1012676,13.8302894913046
NC_138418.1,0,8735696,12829212,220,4093516,3.42141138348949
