chrom,ancestry,start,end,n_windows,dist,ages
NC_091013.1,0,443346,9920469,19,9477123,1.47783269678956
NC_091014.1,0,2154167,4844365,3,2690198,5.20616037960639
NC_091015.1,0,135397,12303645,54,12168248,1.15099579174392
NC_091016.1,1,2326276,3895425,2,1569149,8.92560377688566
NC_091017.1,1,808112,5354660,30,4546548,3.08049144997399
NC_091018.1,1,80755,2480223,138,2399468,5.83696146016382
NC_091019.1,0,1838953,2621861,1,782908,17.889205680484
NC_091020.1,1,4982066,6274569,2,1292503,10.8360307410477
NC_091021.1,0,1148877,8961000,27,7812123,1.79280360036527
NC_091022.1,1,626921,852309,2,225388,62.139964154686
NC_091023.1,0,41158,190131,1,148973,94.0143666362116
NC_091024.1,0,4019736,15751896,58,11732160,1.19377865976055
NC_091025.1,0,109567,4830726,24,4721159,2.96656016899587
NC_091026.1,0,871977,6301553,12,5429576,2.5795020165288
NC_091027.1,2,804256,1996785,3,1192529,11.7444542152823
NC_091028.1,2,4055752,6667697,1,2611945,5.36213520609981
NC_091029.1,1,68910,719126,2,650216,21.5399224886751
NC_091030.1,1,715410,8381676,4,7666266,1.82691315966552
NC_091031.1,1,22132,785800,203,763668,18.3399098049105
NC_091032.1,0,2441746,11192329,7,8750583,1.60053361483416
NC_091033.1,0,7864863,15795946,14,7931083,1.7659129580281
NC_091034.1,2,492062,8910370,1,8418308,1.66370750997663
NC_091035.1,0,213852,3989950,6,3776098,3.70901450145
NC_091036.1,2,244537,409864,1,165327,84.7145489901611
NC_091037.1,0,697797,1705659,2,1007862,13.8963491439268
NC_091039.1,1,2571246,7457841,4,4886595,2.86612707639908
NC_091040.1,0,481640,4813409,81,4331769,3.2332292513512
NC_091041.1,0,965127,6614915,6,5649788,2.47896066912535
NC_138418.1,0,521407,1195287,39,673880,20.7835256141989
NW_027183463.1,0,406599,431771,11,25172,556.396084573985
NW_027183467.1,1,120149,780644,44,660495,21.2047059264587
NW_027183569.1,2,70449,199492,9,129043,108.534381879655
NW_027183905.1,0,425036,666836,38,241800,57.922259060779
NW_027183949.1,2,849921,883218,2,33297,420.626550166572
NW_027183981.1,0,848094,1821236,155,973142,14.3921465119133
NW_027184063.1,0,907151,909453,10,2302,6084.10175538504
NW_027184064.1,1,144147,1706389,84,1562242,8.96506574582962
NW_027184086.1,0,259851,1759990,80,1500139,9.3362030057857
NW_027184087.1,0,25151,1247311,78,1222160,11.4597125097339
NW_027184088.1,0,1698,632739,1,631041,22.194440996538
NC_091013.1,1,9920469,10457579,1,537110,26.0758545566017
NC_091014.1,1,4844365,6987666,3,2143301,6.53459418014379
