# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_californica_334039.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_californica_334039.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_californica_334039	NC_091013.1	197849	250006	52158	163	53.4
RG	Aph_californica_334039	NC_091013.1	495040	499992	4953	37	34.5
RG	Aph_californica_334039	NC_091013.1	571580	575464	3885	51	6.7
RG	Aph_californica_334039	NC_091013.1	868896	874154	5259	53	45.4
RG	Aph_californica_334039	NC_091013.1	1459585	1463279	3695	36	28.2
RG	Aph_californica_334039	NC_091013.1	1466650	1472627	5978	55	60.1
RG	Aph_californica_334039	NC_091013.1	3358526	3361005	2480	28	20.7
RG	Aph_californica_334039	NC_091013.1	3679007	3721628	42622	304	89.4
RG	Aph_californica_334039	NC_091013.1	3919014	3932650	13637	82	56.2
RG	Aph_californica_334039	NC_091013.1	4454555	4472196	17642	117	80.0
RG	Aph_californica_334039	NC_091013.1	5886699	5890713	4015	37	12.0
RG	Aph_californica_334039	NC_091013.1	6476862	6479794	2933	43	31.8
RG	Aph_californica_334039	NC_091013.1	6836864	6841399	4536	45	14.1
RG	Aph_californica_334039	NC_091013.1	8903155	8907251	4097	61	32.9
RG	Aph_californica_334039	NC_091013.1	8991823	8997096	5274	70	56.9
RG	Aph_californica_334039	NC_091013.1	8997387	9002958	5572	51	37.4
RG	Aph_californica_334039	NC_091013.1	9317630	9318868	1239	29	10.2
RG	Aph_californica_334039	NC_091013.1	9530801	9551247	20447	187	75.1
RG	Aph_californica_334039	NC_091013.1	9552158	9559012	6855	50	60.4
RG	Aph_californica_334039	NC_091013.1	9762440	9765811	3372	31	17.0
RG	Aph_californica_334039	NC_091013.1	10215328	10218985	3658	37	23.7
RG	Aph_californica_334039	NC_091013.1	10847904	10856543	8640	75	43.2
RG	Aph_californica_334039	NC_091013.1	11178414	11180472	2059	33	23.8
RG	Aph_californica_334039	NC_091013.1	11537476	11544817	7342	83	58.8
RG	Aph_californica_334039	NC_091013.1	11657427	11663076	5650	36	33.6
RG	Aph_californica_334039	NC_091013.1	11663770	11670252	6483	65	49.0
RG	Aph_californica_334039	NC_091013.1	11725885	11728231	2347	38	11.9
RG	Aph_californica_334039	NC_091013.1	11783685	11790558	6874	58	47.0
RG	Aph_californica_334039	NC_091013.1	12004258	12013153	8896	83	37.1
RG	Aph_californica_334039	NC_091013.1	12134840	12137475	2636	41	43.0
RG	Aph_californica_334039	NC_091013.1	12309589	12313396	3808	39	23.7
RG	Aph_californica_334039	NC_091013.1	12416290	12419522	3233	44	24.2
RG	Aph_californica_334039	NC_091013.1	12445614	12449835	4222	58	32.9
RG	Aph_californica_334039	NC_091013.1	12782036	12788655	6620	59	41.2
RG	Aph_californica_334039	NC_091013.1	13083584	13090263	6680	35	23.9
RG	Aph_californica_334039	NC_091013.1	13369800	13384787	14988	119	74.0
RG	Aph_californica_334039	NC_091013.1	13869140	13887153	18014	78	56.7
RG	Aph_californica_334039	NC_091013.1	13989516	13993152	3637	66	45.1
RG	Aph_californica_334039	NC_091013.1	14061098	14064946	3849	29	12.7
RG	Aph_californica_334039	NC_091013.1	14148535	14151294	2760	31	21.1
RG	Aph_californica_334039	NC_091013.1	14348485	14352292	3808	37	38.0
RG	Aph_californica_334039	NC_091013.1	14367282	14376625	9344	52	49.2
RG	Aph_californica_334039	NC_091013.1	14673742	14696154	22413	151	58.4
RG	Aph_californica_334039	NC_091013.1	14706930	14719156	12227	71	69.9
RG	Aph_californica_334039	NC_091013.1	15217202	15221525	4324	47	18.2
RG	Aph_californica_334039	NC_091013.1	15258116	15268475	10360	78	61.1
RG	Aph_californica_334039	NC_091013.1	15311543	15316422	4880	48	17.7
RG	Aph_californica_334039	NC_091013.1	15454497	15463964	9468	54	29.8
RG	Aph_californica_334039	NC_091013.1	16438312	16442078	3767	69	50.8
RG	Aph_californica_334039	NC_091013.1	16642779	16652422	9644	67	42.6
RG	Aph_californica_334039	NC_091013.1	16779442	16782475	3034	39	9.7
RG	Aph_californica_334039	NC_091013.1	16916196	16919901	3706	41	30.1
RG	Aph_californica_334039	NC_091013.1	16928771	16935653	6883	51	57.3
