# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_californica_94204.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_californica_94204.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_californica_94204	NC_091013.1	206887	229864	22978	59	41.6
RG	Aph_californica_94204	NC_091013.1	303060	312151	9092	39	25.2
RG	Aph_californica_94204	NC_091013.1	1548063	1555341	7279	36	8.7
RG	Aph_californica_94204	NC_091013.1	6087273	6092030	4758	29	16.6
RG	Aph_californica_94204	NC_091013.1	6751165	6757274	6110	43	6.7
RG	Aph_californica_94204	NC_091013.1	7608059	7616054	7996	70	62.6
RG	Aph_californica_94204	NC_091013.1	7632098	7639336	7239	26	12.8
RG	Aph_californica_94204	NC_091013.1	8607342	8613540	6199	60	27.2
RG	Aph_californica_94204	NC_091013.1	8736775	8749561	12787	111	74.5
RG	Aph_californica_94204	NC_091013.1	8903288	8906191	2904	43	22.6
RG	Aph_californica_94204	NC_091013.1	8986194	8992153	5960	58	49.1
RG	Aph_californica_94204	NC_091013.1	9047628	9056777	9150	86	74.8
RG	Aph_californica_94204	NC_091013.1	9396790	9404157	7368	49	41.0
RG	Aph_californica_94204	NC_091013.1	9868556	9874260	5705	35	7.9
RG	Aph_californica_94204	NC_091013.1	10215328	10218771	3444	34	6.2
RG	Aph_californica_94204	NC_091013.1	10243223	10248400	5178	76	6.6
RG	Aph_californica_94204	NC_091013.1	10458888	10463280	4393	28	13.8
RG	Aph_californica_94204	NC_091013.1	12076723	12127404	50682	337	85.1
RG	Aph_californica_94204	NC_091013.1	12254712	12259577	4866	44	27.4
RG	Aph_californica_94204	NC_091013.1	12300971	12307014	6044	61	30.5
RG	Aph_californica_94204	NC_091013.1	13442483	13448895	6413	50	48.8
RG	Aph_californica_94204	NC_091013.1	13525854	13533617	7764	60	52.9
RG	Aph_californica_94204	NC_091013.1	14055628	14063367	7740	50	29.4
RG	Aph_californica_94204	NC_091013.1	14342266	14350585	8320	62	56.5
RG	Aph_californica_94204	NC_091013.1	14437357	14442640	5284	42	38.6
RG	Aph_californica_94204	NC_091013.1	14480363	14483521	3159	27	7.4
RG	Aph_californica_94204	NC_091013.1	15157686	15161680	3995	49	23.0
