# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_woodhouseii_27904.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_woodhouseii_27904.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_woodhouseii_27904	NC_091013.1	764490	769800	5311	43	29.1
RG	Aph_woodhouseii_27904	NC_091013.1	1151552	1159440	7889	52	32.0
RG	Aph_woodhouseii_27904	NC_091013.1	1162337	1193573	31237	201	82.3
RG	Aph_woodhouseii_27904	NC_091013.1	1861466	1865154	3689	28	4.9
RG	Aph_woodhouseii_27904	NC_091013.1	2415495	2422067	6573	47	44.6
RG	Aph_woodhouseii_27904	NC_091013.1	3926301	3930953	4653	30	15.3
RG	Aph_woodhouseii_27904	NC_091013.1	3948274	3963239	14966	94	56.5
RG	Aph_woodhouseii_27904	NC_091013.1	4319158	4341149	21992	123	67.9
RG	Aph_woodhouseii_27904	NC_091013.1	4722231	4728737	6507	41	40.6
RG	Aph_woodhouseii_27904	NC_091013.1	6258709	6283052	24344	144	83.3
RG	Aph_woodhouseii_27904	NC_091013.1	7307632	7315084	7453	71	59.3
RG	Aph_woodhouseii_27904	NC_091013.1	7570264	7580460	10197	68	49.0
RG	Aph_woodhouseii_27904	NC_091013.1	8108435	8115767	7333	42	43.4
RG	Aph_woodhouseii_27904	NC_091013.1	8986204	8990611	4408	47	16.1
RG	Aph_woodhouseii_27904	NC_091013.1	9275356	9279617	4262	35	8.0
RG	Aph_woodhouseii_27904	NC_091013.1	9448130	9454840	6711	38	19.6
RG	Aph_woodhouseii_27904	NC_091013.1	9560313	9567541	7229	62	54.4
RG	Aph_woodhouseii_27904	NC_091013.1	9571892	9580896	9005	66	57.4
RG	Aph_woodhouseii_27904	NC_091013.1	9930678	9935551	4874	30	21.3
RG	Aph_woodhouseii_27904	NC_091013.1	10068483	10077414	8932	75	61.4
RG	Aph_woodhouseii_27904	NC_091013.1	10150719	10156127	5409	52	9.6
RG	Aph_woodhouseii_27904	NC_091013.1	10578968	10587353	8386	94	77.8
RG	Aph_woodhouseii_27904	NC_091013.1	10614492	10616890	2399	29	8.8
RG	Aph_woodhouseii_27904	NC_091013.1	10726865	10733136	6272	51	44.0
RG	Aph_woodhouseii_27904	NC_091013.1	11149249	11153571	4323	31	16.5
RG	Aph_woodhouseii_27904	NC_091013.1	11184350	11197711	13362	110	68.2
RG	Aph_woodhouseii_27904	NC_091013.1	11391347	11394989	3643	40	40.6
RG	Aph_woodhouseii_27904	NC_091013.1	11704679	11710139	5461	34	26.6
RG	Aph_woodhouseii_27904	NC_091013.1	11849980	11868020	18041	165	70.4
RG	Aph_woodhouseii_27904	NC_091013.1	12017571	12024180	6610	87	64.6
RG	Aph_woodhouseii_27904	NC_091013.1	12027792	12031877	4086	30	20.6
RG	Aph_woodhouseii_27904	NC_091013.1	12037878	12050198	12321	102	77.0
RG	Aph_woodhouseii_27904	NC_091013.1	12053224	12059129	5906	60	46.5
RG	Aph_woodhouseii_27904	NC_091013.1	12158291	12164383	6093	43	10.3
RG	Aph_woodhouseii_27904	NC_091013.1	12205270	12210127	4858	48	47.6
RG	Aph_woodhouseii_27904	NC_091013.1	12248266	12252345	4080	31	17.8
RG	Aph_woodhouseii_27904	NC_091013.1	12505831	12509525	3695	33	22.7
RG	Aph_woodhouseii_27904	NC_091013.1	12641779	12644529	2751	48	37.4
RG	Aph_woodhouseii_27904	NC_091013.1	12807526	12816777	9252	84	31.1
RG	Aph_woodhouseii_27904	NC_091013.1	12919391	12924822	5432	33	23.9
RG	Aph_woodhouseii_27904	NC_091013.1	12955466	12963749	8284	69	14.5
RG	Aph_woodhouseii_27904	NC_091013.1	12974261	12979137	4877	37	8.6
RG	Aph_woodhouseii_27904	NC_091013.1	12988975	12993587	4613	35	15.5
RG	Aph_woodhouseii_27904	NC_091013.1	13096297	13135354	39058	278	89.4
RG	Aph_woodhouseii_27904	NC_091013.1	13268217	13276794	8578	68	50.9
RG	Aph_woodhouseii_27904	NC_091013.1	13379583	13382492	2910	27	5.3
RG	Aph_woodhouseii_27904	NC_091013.1	13566279	13571064	4786	49	53.6
RG	Aph_woodhouseii_27904	NC_091013.1	13748463	13762557	14095	119	63.8
RG	Aph_woodhouseii_27904	NC_091013.1	13775511	13813693	38183	230	85.9
RG	Aph_woodhouseii_27904	NC_091013.1	13911678	13914297	2620	34	23.8
RG	Aph_woodhouseii_27904	NC_091013.1	14115289	14131827	16539	113	51.3
RG	Aph_woodhouseii_27904	NC_091013.1	14458219	14492018	33800	281	87.1
RG	Aph_woodhouseii_27904	NC_091013.1	14732373	14737589	5217	62	47.2
RG	Aph_woodhouseii_27904	NC_091013.1	14853818	14971180	117363	649	87.4
RG	Aph_woodhouseii_27904	NC_091013.1	15085514	15092080	6567	63	15.2
RG	Aph_woodhouseii_27904	NC_091013.1	15422686	15438051	15366	85	70.6
RG	Aph_woodhouseii_27904	NC_091013.1	15652467	15662971	10505	88	67.0
RG	Aph_woodhouseii_27904	NC_091013.1	15933029	15980164	47136	245	88.9
RG	Aph_woodhouseii_27904	NC_091013.1	15988779	15998671	9893	75	72.7
RG	Aph_woodhouseii_27904	NC_091013.1	16695516	16700112	4597	39	21.8
RG	Aph_woodhouseii_27904	NC_091013.1	16712313	16719611	7299	37	37.1
RG	Aph_woodhouseii_27904	NC_091013.1	17019121	17030658	11538	95	63.2
RG	Aph_woodhouseii_27904	NC_091013.1	17441828	17449671	7844	69	28.5
RG	Aph_woodhouseii_27904	NC_091013.1	17759399	17766457	7059	56	25.0
RG	Aph_woodhouseii_27904	NC_091013.1	17935266	17941841	6576	39	15.4
RG	Aph_woodhouseii_27904	NC_091013.1	18176010	18180141	4132	39	13.4
RG	Aph_woodhouseii_27904	NC_091013.1	18542509	18547957	5449	43	32.3
RG	Aph_woodhouseii_27904	NC_091013.1	19234447	19240122	5676	30	9.9
RG	Aph_woodhouseii_27904	NC_091013.1	19515773	19522200	6428	41	39.5
RG	Aph_woodhouseii_27904	NC_091013.1	19765853	19782455	16603	104	43.1
RG	Aph_woodhouseii_27904	NC_091013.1	19817452	19826961	9510	71	67.1
