# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_californica_342022.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_californica_342022.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_californica_342022	NC_091013.1	213950	275198	61249	183	40.3
RG	Aph_californica_342022	NC_091013.1	1130499	1132768	2270	36	28.7
RG	Aph_californica_342022	NC_091013.1	2275195	2283712	8518	61	62.5
RG	Aph_californica_342022	NC_091013.1	3040245	3043187	2943	37	36.2
RG	Aph_californica_342022	NC_091013.1	3465429	3481362	15934	127	73.7
RG	Aph_californica_342022	NC_091013.1	3939831	3946104	6274	112	57.1
RG	Aph_californica_342022	NC_091013.1	6428608	6432603	3996	47	23.2
RG	Aph_californica_342022	NC_091013.1	7067389	7072481	5093	38	39.7
RG	Aph_californica_342022	NC_091013.1	7554270	7562107	7838	38	20.7
RG	Aph_californica_342022	NC_091013.1	8641882	8658000	16119	122	44.3
RG	Aph_californica_342022	NC_091013.1	9419517	9433237	13721	93	61.2
RG	Aph_californica_342022	NC_091013.1	9486635	9499964	13330	85	74.0
RG	Aph_californica_342022	NC_091013.1	9706035	9710512	4478	27	14.0
RG	Aph_californica_342022	NC_091013.1	10060395	10067341	6947	66	43.5
RG	Aph_californica_342022	NC_091013.1	10446222	10449593	3372	40	15.2
RG	Aph_californica_342022	NC_091013.1	11472095	11479169	7075	46	31.2
RG	Aph_californica_342022	NC_091013.1	11784810	11790110	5301	45	38.0
RG	Aph_californica_342022	NC_091013.1	11945894	11954362	8469	67	28.6
RG	Aph_californica_342022	NC_091013.1	11961633	11968088	6456	83	27.7
RG	Aph_californica_342022	NC_091013.1	12238175	12246342	8168	65	34.5
RG	Aph_californica_342022	NC_091013.1	12277137	12280251	3115	38	32.7
RG	Aph_californica_342022	NC_091013.1	12465584	12476234	10651	70	18.1
RG	Aph_californica_342022	NC_091013.1	12672402	12677167	4766	45	21.0
RG	Aph_californica_342022	NC_091013.1	12699454	12709434	9981	84	55.9
RG	Aph_californica_342022	NC_091013.1	12710146	12714510	4365	36	7.4
RG	Aph_californica_342022	NC_091013.1	13016056	13020890	4835	49	29.4
RG	Aph_californica_342022	NC_091013.1	13078834	13094074	15241	92	65.2
RG	Aph_californica_342022	NC_091013.1	13323211	13328506	5296	39	18.2
RG	Aph_californica_342022	NC_091013.1	13374763	13381773	7011	44	47.5
RG	Aph_californica_342022	NC_091013.1	14157227	14170835	13609	91	33.8
RG	Aph_californica_342022	NC_091013.1	14285420	14314689	29270	208	55.6
RG	Aph_californica_342022	NC_091013.1	14349992	14355218	5227	46	30.4
RG	Aph_californica_342022	NC_091013.1	14661074	14672759	11686	58	61.3
RG	Aph_californica_342022	NC_091013.1	14804548	14807162	2615	28	10.9
RG	Aph_californica_342022	NC_091013.1	15104017	15116550	12534	80	68.1
RG	Aph_californica_342022	NC_091013.1	15120834	15123728	2895	29	14.5
RG	Aph_californica_342022	NC_091013.1	15173781	15179401	5621	49	38.6
RG	Aph_californica_342022	NC_091013.1	15562642	15570161	7520	70	12.3
RG	Aph_californica_342022	NC_091013.1	15802412	15805676	3265	30	19.1
RG	Aph_californica_342022	NC_091013.1	16069631	16074746	5116	29	14.9
RG	Aph_californica_342022	NC_091013.1	16414944	16416789	1846	31	13.0
RG	Aph_californica_342022	NC_091013.1	16695883	16701089	5207	41	42.4
RG	Aph_californica_342022	NC_091013.1	16726274	16733053	6780	52	22.1
RG	Aph_californica_342022	NC_091013.1	17510221	17518936	8716	63	53.2
RG	Aph_californica_342022	NC_091013.1	17729677	17735378	5702	46	38.4
RG	Aph_californica_342022	NC_091013.1	18027080	18034666	7587	70	33.5
RG	Aph_californica_342022	NC_091013.1	18140368	18143042	2675	45	42.4
RG	Aph_californica_342022	NC_091013.1	18295307	18301114	5808	56	26.2
RG	Aph_californica_342022	NC_091013.1	18367375	18372276	4902	32	20.4
RG	Aph_californica_342022	NC_091013.1	18399170	18403646	4477	29	19.3
RG	Aph_californica_342022	NC_091013.1	18525744	18532926	7183	64	51.9
RG	Aph_californica_342022	NC_091013.1	18612869	18616971	4103	44	13.1
RG	Aph_californica_342022	NC_091013.1	19033469	19035047	1579	30	16.1
RG	Aph_californica_342022	NC_091013.1	20089628	20095781	6154	57	29.1
RG	Aph_californica_342022	NC_091013.1	20695885	20699928	4044	37	11.6
RG	Aph_californica_342022	NC_091013.1	21217613	21222881	5269	51	27.8
RG	Aph_californica_342022	NC_091013.1	21259290	21269639	10350	73	55.1
RG	Aph_californica_342022	NC_091013.1	21410568	21424068	13501	105	50.8
RG	Aph_californica_342022	NC_091013.1	21426321	21438921	12601	91	62.4
RG	Aph_californica_342022	NC_091013.1	21545261	21553174	7914	49	22.0
RG	Aph_californica_342022	NC_091013.1	22032070	22118315	86246	653	87.7
RG	Aph_californica_342022	NC_091013.1	22703368	22705912	2545	41	12.6
RG	Aph_californica_342022	NC_091013.1	22736564	22758896	22333	179	65.0
RG	Aph_californica_342022	NC_091013.1	23153999	23168369	14371	125	76.5
RG	Aph_californica_342022	NC_091013.1	23414653	23418608	3956	41	6.2
RG	Aph_californica_342022	NC_091013.1	23436464	23489427	52964	455	83.0
RG	Aph_californica_342022	NC_091013.1	24565886	24576782	10897	82	55.9
RG	Aph_californica_342022	NC_091013.1	24578261	24582292	4032	40	16.5
RG	Aph_californica_342022	NC_091013.1	24611594	24617898	6305	49	42.6
RG	Aph_californica_342022	NC_091013.1	24884575	24887683	3109	27	12.7
RG	Aph_californica_342022	NC_091013.1	25356689	25482971	126283	762	92.0
RG	Aph_californica_342022	NC_091013.1	25805208	25811391	6184	42	50.0
RG	Aph_californica_342022	NC_091013.1	25890161	25899180	9020	65	10.3
RG	Aph_californica_342022	NC_091013.1	25926347	25934242	7896	67	54.9
RG	Aph_californica_342022	NC_091013.1	26494293	26499033	4741	47	22.4
RG	Aph_californica_342022	NC_091013.1	26588778	26593460	4683	31	19.5
RG	Aph_californica_342022	NC_091013.1	26850932	26859619	8688	52	8.9
RG	Aph_californica_342022	NC_091013.1	27619387	27626329	6943	70	12.8
RG	Aph_californica_342022	NC_091013.1	27827283	27829730	2448	29	13.4
