# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_woodhouseii_50478.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_woodhouseii_50478.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_woodhouseii_50478	NC_091013.1	1425987	1449948	23962	142	82.7
RG	Aph_woodhouseii_50478	NC_091013.1	1467976	1475004	7029	49	4.9
RG	Aph_woodhouseii_50478	NC_091013.1	1791841	1799718	7878	38	36.2
RG	Aph_woodhouseii_50478	NC_091013.1	1982334	1986501	4168	36	34.9
RG	Aph_woodhouseii_50478	NC_091013.1	2002686	2011774	9089	60	49.3
RG	Aph_woodhouseii_50478	NC_091013.1	3067062	3089179	22118	134	82.1
RG	Aph_woodhouseii_50478	NC_091013.1	3143047	3147514	4468	37	8.5
RG	Aph_woodhouseii_50478	NC_091013.1	3248800	3258045	9246	47	50.2
RG	Aph_woodhouseii_50478	NC_091013.1	3561432	3574716	13285	80	32.2
RG	Aph_woodhouseii_50478	NC_091013.1	4119559	4124010	4452	29	17.7
RG	Aph_woodhouseii_50478	NC_091013.1	5199833	5251034	51202	280	77.6
RG	Aph_woodhouseii_50478	NC_091013.1	5278178	5296854	18677	99	68.8
RG	Aph_woodhouseii_50478	NC_091013.1	5510249	5515769	5521	36	13.7
RG	Aph_woodhouseii_50478	NC_091013.1	6098685	6109973	11289	64	66.2
RG	Aph_woodhouseii_50478	NC_091013.1	6305714	6321425	15712	99	77.1
RG	Aph_woodhouseii_50478	NC_091013.1	7293319	7296954	3636	42	42.9
RG	Aph_woodhouseii_50478	NC_091013.1	8309534	8326222	16689	102	67.2
RG	Aph_woodhouseii_50478	NC_091013.1	8766350	8788998	22649	135	84.4
RG	Aph_woodhouseii_50478	NC_091013.1	8857174	8861620	4447	32	14.5
RG	Aph_woodhouseii_50478	NC_091013.1	8975066	8978643	3578	39	21.2
RG	Aph_woodhouseii_50478	NC_091013.1	9026765	9031184	4420	27	8.3
RG	Aph_woodhouseii_50478	NC_091013.1	9286856	9295679	8824	75	17.3
RG	Aph_woodhouseii_50478	NC_091013.1	9837769	9883120	45352	300	79.1
RG	Aph_woodhouseii_50478	NC_091013.1	9902306	9917276	14971	61	54.5
RG	Aph_woodhouseii_50478	NC_091013.1	10118911	10125333	6423	70	40.3
RG	Aph_woodhouseii_50478	NC_091013.1	10318362	10368113	49752	432	84.7
RG	Aph_woodhouseii_50478	NC_091013.1	10371811	10373635	1825	30	11.8
RG	Aph_woodhouseii_50478	NC_091013.1	10527970	10531527	3558	52	27.0
RG	Aph_woodhouseii_50478	NC_091013.1	10571630	10590646	19017	133	61.6
RG	Aph_woodhouseii_50478	NC_091013.1	10650728	10656443	5716	54	16.9
RG	Aph_woodhouseii_50478	NC_091013.1	11035949	11089643	53695	313	84.1
RG	Aph_woodhouseii_50478	NC_091013.1	11192513	11212482	19970	130	72.0
RG	Aph_woodhouseii_50478	NC_091013.1	11256307	11261050	4744	27	9.3
RG	Aph_woodhouseii_50478	NC_091013.1	11341685	11351465	9781	63	17.6
RG	Aph_woodhouseii_50478	NC_091013.1	11389873	11412377	22505	157	84.1
RG	Aph_woodhouseii_50478	NC_091013.1	11489602	11495897	6296	50	25.7
RG	Aph_woodhouseii_50478	NC_091013.1	11528386	11534877	6492	53	48.8
RG	Aph_woodhouseii_50478	NC_091013.1	11559822	11571995	12174	65	11.4
RG	Aph_woodhouseii_50478	NC_091013.1	11704679	11708443	3765	34	9.9
RG	Aph_woodhouseii_50478	NC_091013.1	12002839	12015054	12216	114	41.9
RG	Aph_woodhouseii_50478	NC_091013.1	12045215	12069805	24591	220	88.1
RG	Aph_woodhouseii_50478	NC_091013.1	12120349	12128634	8286	56	55.4
RG	Aph_woodhouseii_50478	NC_091013.1	12495766	12550812	55047	373	89.0
RG	Aph_woodhouseii_50478	NC_091013.1	12770298	12774015	3718	33	28.7
RG	Aph_woodhouseii_50478	NC_091013.1	13021345	13025542	4198	29	13.7
RG	Aph_woodhouseii_50478	NC_091013.1	13310598	13315566	4969	46	32.5
RG	Aph_woodhouseii_50478	NC_091013.1	13729531	13738923	9393	69	42.1
RG	Aph_woodhouseii_50478	NC_091013.1	14101626	14110832	9207	56	40.2
RG	Aph_woodhouseii_50478	NC_091013.1	14620151	14627611	7461	30	19.4
RG	Aph_woodhouseii_50478	NC_091013.1	14672232	14707618	35387	218	89.5
RG	Aph_woodhouseii_50478	NC_091013.1	14732504	14737071	4568	59	8.9
RG	Aph_woodhouseii_50478	NC_091013.1	15044792	15054083	9292	60	13.8
RG	Aph_woodhouseii_50478	NC_091013.1	15491285	15497810	6526	46	29.0
RG	Aph_woodhouseii_50478	NC_091013.1	15602635	15607012	4378	47	15.4
RG	Aph_woodhouseii_50478	NC_091013.1	15667576	15674350	6775	72	51.4
RG	Aph_woodhouseii_50478	NC_091013.1	15771014	15784316	13303	88	19.8
RG	Aph_woodhouseii_50478	NC_091013.1	16048187	16052834	4648	34	4.5
RG	Aph_woodhouseii_50478	NC_091013.1	16166677	16170840	4164	28	11.6
RG	Aph_woodhouseii_50478	NC_091013.1	16321910	16325867	3958	27	14.2
RG	Aph_woodhouseii_50478	NC_091013.1	16404512	16408343	3832	54	44.1
RG	Aph_woodhouseii_50478	NC_091013.1	16650987	16655548	4562	38	20.1
RG	Aph_woodhouseii_50478	NC_091013.1	16693723	16700054	6332	38	19.5
RG	Aph_woodhouseii_50478	NC_091013.1	16854206	16878191	23986	126	62.0
RG	Aph_woodhouseii_50478	NC_091013.1	16965950	16973555	7606	68	47.6
RG	Aph_woodhouseii_50478	NC_091013.1	17125782	17132567	6786	44	8.7
RG	Aph_woodhouseii_50478	NC_091013.1	17274243	17276455	2213	37	37.8
RG	Aph_woodhouseii_50478	NC_091013.1	17410011	17416102	6092	42	8.2
RG	Aph_woodhouseii_50478	NC_091013.1	17444071	17450517	6447	49	27.1
RG	Aph_woodhouseii_50478	NC_091013.1	17520621	17557917	37297	255	88.8
RG	Aph_woodhouseii_50478	NC_091013.1	17831468	17836920	5453	39	17.0
RG	Aph_woodhouseii_50478	NC_091013.1	17899731	17906499	6769	59	8.4
RG	Aph_woodhouseii_50478	NC_091013.1	17918354	17932427	14074	103	72.2
RG	Aph_woodhouseii_50478	NC_091013.1	18084627	18087786	3160	37	28.5
RG	Aph_woodhouseii_50478	NC_091013.1	18095426	18102584	7159	59	25.6
RG	Aph_woodhouseii_50478	NC_091013.1	18124452	18161612	37161	263	79.1
RG	Aph_woodhouseii_50478	NC_091013.1	18532171	18536989	4819	53	15.6
RG	Aph_woodhouseii_50478	NC_091013.1	18542635	18581558	38924	210	78.2
RG	Aph_woodhouseii_50478	NC_091013.1	18587553	18593730	6178	43	30.8
RG	Aph_woodhouseii_50478	NC_091013.1	18874208	18970717	96510	445	80.4
RG	Aph_woodhouseii_50478	NC_091013.1	19526687	19538605	11919	109	33.1
RG	Aph_woodhouseii_50478	NC_091013.1	19738545	19744682	6138	49	40.1
RG	Aph_woodhouseii_50478	NC_091013.1	19779942	19782433	2492	29	20.6
RG	Aph_woodhouseii_50478	NC_091013.1	19916209	19943846	27638	186	67.5
RG	Aph_woodhouseii_50478	NC_091013.1	19986561	20000846	14286	95	47.1
RG	Aph_woodhouseii_50478	NC_091013.1	20043130	20050491	7362	59	49.8
RG	Aph_woodhouseii_50478	NC_091013.1	20126127	20130926	4800	44	23.6
RG	Aph_woodhouseii_50478	NC_091013.1	20277231	20281328	4098	38	36.8
RG	Aph_woodhouseii_50478	NC_091013.1	20695548	20710451	14904	92	70.7
RG	Aph_woodhouseii_50478	NC_091013.1	20748157	20755211	7055	34	28.0
RG	Aph_woodhouseii_50478	NC_091013.1	20855652	20866207	10556	63	56.7
RG	Aph_woodhouseii_50478	NC_091013.1	20972200	20974906	2707	36	37.6
RG	Aph_woodhouseii_50478	NC_091013.1	21055803	21072537	16735	134	72.5
RG	Aph_woodhouseii_50478	NC_091013.1	21076779	21083224	6446	86	12.9
RG	Aph_woodhouseii_50478	NC_091013.1	21254937	21262036	7100	61	18.2
RG	Aph_woodhouseii_50478	NC_091013.1	21373958	21380534	6577	65	34.7
