# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_californica_334041.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_californica_334041.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_californica_334041	NC_091013.1	231577	271289	39713	112	21.1
RG	Aph_californica_334041	NC_091013.1	3797986	3818391	20406	159	54.9
RG	Aph_californica_334041	NC_091013.1	5572390	5574810	2421	37	37.6
RG	Aph_californica_334041	NC_091013.1	6836081	6842012	5932	58	25.5
RG	Aph_californica_334041	NC_091013.1	6982003	6988679	6677	52	55.6
RG	Aph_californica_334041	NC_091013.1	7334589	7339374	4786	45	51.7
RG	Aph_californica_334041	NC_091013.1	8575422	8583404	7983	62	36.0
RG	Aph_californica_334041	NC_091013.1	8686755	8692660	5906	60	39.7
RG	Aph_californica_334041	NC_091013.1	8995355	8997344	1990	39	24.2
RG	Aph_californica_334041	NC_091013.1	9106027	9110636	4610	42	32.2
RG	Aph_californica_334041	NC_091013.1	9317630	9319204	1575	43	47.1
RG	Aph_californica_334041	NC_091013.1	9319755	9326352	6598	65	23.9
RG	Aph_californica_334041	NC_091013.1	9497980	9498946	967	31	13.4
RG	Aph_californica_334041	NC_091013.1	10113713	10122004	8292	78	30.5
RG	Aph_californica_334041	NC_091013.1	10123188	10149625	26438	214	80.8
RG	Aph_californica_334041	NC_091013.1	10153360	10170590	17231	139	77.6
RG	Aph_californica_334041	NC_091013.1	10394589	10407740	13152	111	55.5
RG	Aph_californica_334041	NC_091013.1	10594543	10606016	11474	91	46.5
RG	Aph_californica_334041	NC_091013.1	10765128	10772455	7328	50	57.5
RG	Aph_californica_334041	NC_091013.1	11641649	11645706	4058	55	14.7
RG	Aph_californica_334041	NC_091013.1	11646944	11651029	4086	51	28.0
RG	Aph_californica_334041	NC_091013.1	11806869	11811270	4402	37	32.9
RG	Aph_californica_334041	NC_091013.1	11915380	11931019	15640	155	27.5
RG	Aph_californica_334041	NC_091013.1	12002434	12010296	7863	87	20.9
RG	Aph_californica_334041	NC_091013.1	12055978	12066536	10559	90	54.6
RG	Aph_californica_334041	NC_091013.1	12407179	12424415	17237	147	37.3
RG	Aph_californica_334041	NC_091013.1	12445949	12451065	5117	64	62.0
RG	Aph_californica_334041	NC_091013.1	12475117	12501963	26847	210	42.3
RG	Aph_californica_334041	NC_091013.1	12504384	12510567	6184	54	34.3
RG	Aph_californica_334041	NC_091013.1	12512474	12529641	17168	123	48.8
RG	Aph_californica_334041	NC_091013.1	12804095	12812323	8229	63	52.5
RG	Aph_californica_334041	NC_091013.1	13053314	13058084	4771	29	9.8
RG	Aph_californica_334041	NC_091013.1	13075441	13083127	7687	60	43.0
RG	Aph_californica_334041	NC_091013.1	13190804	13206633	15830	101	40.5
RG	Aph_californica_334041	NC_091013.1	13380031	13382491	2461	28	9.3
RG	Aph_californica_334041	NC_091013.1	14158231	14171228	12998	77	40.9
RG	Aph_californica_334041	NC_091013.1	14443535	14455347	11813	110	70.6
RG	Aph_californica_334041	NC_091013.1	15432600	15438727	6128	37	17.0
RG	Aph_californica_334041	NC_091013.1	15667357	15672140	4784	63	39.5
RG	Aph_californica_334041	NC_091013.1	15765802	15786459	20658	141	56.3
RG	Aph_californica_334041	NC_091013.1	16424680	16433643	8964	48	28.9
RG	Aph_californica_334041	NC_091013.1	16885649	16890845	5197	41	39.3
RG	Aph_californica_334041	NC_091013.1	16891137	16907521	16385	80	56.9
RG	Aph_californica_334041	NC_091013.1	16931431	16933754	2324	31	18.3
RG	Aph_californica_334041	NC_091013.1	17126020	17132617	6598	42	38.4
RG	Aph_californica_334041	NC_091013.1	17505585	17509163	3579	39	11.3
RG	Aph_californica_334041	NC_091013.1	17705396	17725370	19975	118	51.5
RG	Aph_californica_334041	NC_091013.1	17729501	17741785	12285	99	61.8
RG	Aph_californica_334041	NC_091013.1	17902447	17910855	8409	91	10.2
RG	Aph_californica_334041	NC_091013.1	18793754	18798917	5164	60	42.8
RG	Aph_californica_334041	NC_091013.1	19083164	19087530	4367	57	24.2
RG	Aph_californica_334041	NC_091013.1	19113918	19416725	302808	1867	90.2
RG	Aph_californica_334041	NC_091013.1	19801302	19809933	8632	102	66.2
