# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_woodhouseii_334080.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_woodhouseii_334080.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_woodhouseii_334080	NC_091013.1	195394	208628	13235	58	13.0
RG	Aph_woodhouseii_334080	NC_091013.1	238009	257584	19576	58	54.4
RG	Aph_woodhouseii_334080	NC_091013.1	1109506	1117539	8034	56	22.3
RG	Aph_woodhouseii_334080	NC_091013.1	1177754	1191359	13606	121	76.4
RG	Aph_woodhouseii_334080	NC_091013.1	1192495	1202077	9583	69	66.1
RG	Aph_woodhouseii_334080	NC_091013.1	1335259	1339538	4280	51	51.9
RG	Aph_woodhouseii_334080	NC_091013.1	1477494	1485613	8120	56	33.3
RG	Aph_woodhouseii_334080	NC_091013.1	2012422	2015623	3202	34	28.6
RG	Aph_woodhouseii_334080	NC_091013.1	2303606	2306849	3244	32	24.1
RG	Aph_woodhouseii_334080	NC_091013.1	2688722	2694010	5289	42	33.4
RG	Aph_woodhouseii_334080	NC_091013.1	3357708	3368081	10374	59	37.0
RG	Aph_woodhouseii_334080	NC_091013.1	3913172	3920909	7738	64	61.7
RG	Aph_woodhouseii_334080	NC_091013.1	4190846	4201265	10420	56	43.2
RG	Aph_woodhouseii_334080	NC_091013.1	4265280	4267451	2172	40	17.2
RG	Aph_woodhouseii_334080	NC_091013.1	5376045	5383672	7628	45	15.8
RG	Aph_woodhouseii_334080	NC_091013.1	5451761	5457298	5538	31	30.2
RG	Aph_woodhouseii_334080	NC_091013.1	6334735	6339934	5200	44	32.3
RG	Aph_woodhouseii_334080	NC_091013.1	6758949	6768204	9256	70	35.6
RG	Aph_woodhouseii_334080	NC_091013.1	6949805	6959151	9347	78	55.7
RG	Aph_woodhouseii_334080	NC_091013.1	7035784	7039454	3671	37	9.1
RG	Aph_woodhouseii_334080	NC_091013.1	7122850	7128243	5394	73	40.1
RG	Aph_woodhouseii_334080	NC_091013.1	8024336	8030275	5940	35	31.4
RG	Aph_woodhouseii_334080	NC_091013.1	8570450	8574726	4277	29	13.3
RG	Aph_woodhouseii_334080	NC_091013.1	8581736	8592628	10893	87	72.8
RG	Aph_woodhouseii_334080	NC_091013.1	8746371	8757269	10899	107	69.9
RG	Aph_woodhouseii_334080	NC_091013.1	8788511	8792734	4224	28	11.1
RG	Aph_woodhouseii_334080	NC_091013.1	8849562	8854313	4752	38	32.7
RG	Aph_woodhouseii_334080	NC_091013.1	8982707	9010507	27801	239	85.4
RG	Aph_woodhouseii_334080	NC_091013.1	9183468	9210437	26970	197	88.1
RG	Aph_woodhouseii_334080	NC_091013.1	9337972	9340772	2801	52	16.0
