# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_californica_93535.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_californica_93535.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_californica_93535	NC_091013.1	3635650	3644702	9053	57	32.6
RG	Aph_californica_93535	NC_091013.1	3923786	3931226	7441	54	55.4
RG	Aph_californica_93535	NC_091013.1	4454970	4463141	8172	57	57.8
RG	Aph_californica_93535	NC_091013.1	6633392	6644998	11607	67	66.7
RG	Aph_californica_93535	NC_091013.1	7137337	7154685	17349	96	72.1
RG	Aph_californica_93535	NC_091013.1	8536433	8543107	6675	59	44.5
RG	Aph_californica_93535	NC_091013.1	8674599	8682749	8151	61	32.6
RG	Aph_californica_93535	NC_091013.1	8902921	8905178	2258	44	27.7
RG	Aph_californica_93535	NC_091013.1	9060240	9074622	14383	104	66.1
RG	Aph_californica_93535	NC_091013.1	9120673	9129506	8834	55	32.6
RG	Aph_californica_93535	NC_091013.1	9408099	9416133	8035	63	50.5
RG	Aph_californica_93535	NC_091013.1	9985503	9989147	3645	26	4.5
RG	Aph_californica_93535	NC_091013.1	10137331	10145059	7729	66	62.8
RG	Aph_californica_93535	NC_091013.1	10269599	10274677	5079	41	38.6
RG	Aph_californica_93535	NC_091013.1	10603932	10607329	3398	37	9.9
RG	Aph_californica_93535	NC_091013.1	10964083	10985566	21484	121	74.5
RG	Aph_californica_93535	NC_091013.1	11392987	11396319	3333	28	14.5
RG	Aph_californica_93535	NC_091013.1	11500038	11526358	26321	203	80.1
RG	Aph_californica_93535	NC_091013.1	11893987	11897712	3726	29	16.7
RG	Aph_californica_93535	NC_091013.1	11960345	11966823	6479	66	48.0
RG	Aph_californica_93535	NC_091013.1	12056676	12060130	3455	29	14.9
RG	Aph_californica_93535	NC_091013.1	13159916	13163304	3389	29	13.3
RG	Aph_californica_93535	NC_091013.1	13759322	13776723	17402	122	60.8
RG	Aph_californica_93535	NC_091013.1	14424387	14428578	4192	40	40.2
RG	Aph_californica_93535	NC_091013.1	14605992	14618563	12572	74	28.8
RG	Aph_californica_93535	NC_091013.1	14658398	14666142	7745	41	42.5
RG	Aph_californica_93535	NC_091013.1	14990582	15006614	16033	118	63.5
RG	Aph_californica_93535	NC_091013.1	15174219	15179401	5183	41	20.2
RG	Aph_californica_93535	NC_091013.1	15615700	15629436	13737	95	77.8
RG	Aph_californica_93535	NC_091013.1	16267262	16296165	28904	134	63.5
RG	Aph_californica_93535	NC_091013.1	16437636	16441634	3999	52	50.0
RG	Aph_californica_93535	NC_091013.1	16503725	16514423	10699	54	57.7
