# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_californica_193641.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_californica_193641.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_californica_193641	NC_091013.1	201042	222924	21883	73	27.2
RG	Aph_californica_193641	NC_091013.1	234064	268480	34417	99	41.2
RG	Aph_californica_193641	NC_091013.1	314474	323305	8832	42	11.0
RG	Aph_californica_193641	NC_091013.1	491963	499515	7553	66	68.1
RG	Aph_californica_193641	NC_091013.1	518985	523619	4635	35	26.6
RG	Aph_californica_193641	NC_091013.1	532537	537850	5314	47	31.9
RG	Aph_californica_193641	NC_091013.1	1383200	1392960	9761	67	10.0
RG	Aph_californica_193641	NC_091013.1	1868595	1874988	6394	68	27.0
RG	Aph_californica_193641	NC_091013.1	2965576	2970924	5349	44	11.6
RG	Aph_californica_193641	NC_091013.1	3099433	3104178	4746	42	24.2
RG	Aph_californica_193641	NC_091013.1	3839254	3845112	5859	52	32.9
RG	Aph_californica_193641	NC_091013.1	4280714	4288170	7457	49	40.9
RG	Aph_californica_193641	NC_091013.1	4551801	4570426	18626	124	44.1
RG	Aph_californica_193641	NC_091013.1	5568448	5576139	7692	71	59.9
RG	Aph_californica_193641	NC_091013.1	6126147	6139489	13343	58	62.3
RG	Aph_californica_193641	NC_091013.1	6219347	6225131	5785	46	13.8
RG	Aph_californica_193641	NC_091013.1	6605507	6608881	3375	32	26.6
RG	Aph_californica_193641	NC_091013.1	6892666	6905454	12789	116	58.4
RG	Aph_californica_193641	NC_091013.1	7160542	7169913	9372	52	11.7
RG	Aph_californica_193641	NC_091013.1	7477625	7485814	8190	58	23.1
RG	Aph_californica_193641	NC_091013.1	8550341	8554404	4064	38	19.8
RG	Aph_californica_193641	NC_091013.1	9317630	9319505	1876	60	26.4
RG	Aph_californica_193641	NC_091013.1	9724876	9734043	9168	54	50.1
RG	Aph_californica_193641	NC_091013.1	9739499	9762877	23379	189	73.9
RG	Aph_californica_193641	NC_091013.1	10164180	10170250	6071	61	48.7
RG	Aph_californica_193641	NC_091013.1	10705416	10712183	6768	71	46.1
RG	Aph_californica_193641	NC_091013.1	11727034	11728601	1568	30	13.7
RG	Aph_californica_193641	NC_091013.1	12164709	12167551	2843	36	30.9
RG	Aph_californica_193641	NC_091013.1	12877751	12889160	11410	97	56.6
RG	Aph_californica_193641	NC_091013.1	13070837	13072733	1897	29	9.5
RG	Aph_californica_193641	NC_091013.1	13934342	13939205	4864	38	12.5
RG	Aph_californica_193641	NC_091013.1	14536015	14538662	2648	28	11.1
RG	Aph_californica_193641	NC_091013.1	15084341	15088221	3881	59	40.5
RG	Aph_californica_193641	NC_091013.1	15095147	15100251	5105	41	42.6
RG	Aph_californica_193641	NC_091013.1	15395970	15400026	4057	28	8.9
RG	Aph_californica_193641	NC_091013.1	15481863	15486834	4972	46	17.3
RG	Aph_californica_193641	NC_091013.1	16082136	16092472	10337	76	31.3
RG	Aph_californica_193641	NC_091013.1	16231985	16237889	5905	63	37.4
RG	Aph_californica_193641	NC_091013.1	17272846	17276136	3291	51	32.5
RG	Aph_californica_193641	NC_091013.1	17357740	17360210	2471	39	17.2
RG	Aph_californica_193641	NC_091013.1	18064474	18068861	4388	51	37.0
RG	Aph_californica_193641	NC_091013.1	18181737	18192095	10359	71	14.3
RG	Aph_californica_193641	NC_091013.1	18501861	18506561	4701	47	17.7
RG	Aph_californica_193641	NC_091013.1	19080873	19086695	5823	57	63.6
RG	Aph_californica_193641	NC_091013.1	19108043	19113308	5266	48	39.9
