# This file was produced by: bcftools roh(1.11+htslib-1.11)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 -o Aph_woodhouseii_19203.roh.txt /u/home/d/dderaad/project-aguillon/eagle.mountain.scrubjays/bwa.mem/vcf/Aph_woodhouseii_19203.depth.filtered.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
# ST	[2]Sample	[3]Chromosome	[4]Position	[5]State (0:HW, 1:AZ)	[6]Quality (fwd-bwd phred score)
RG	Aph_woodhouseii_19203	NC_091013.1	267735	278392	10658	28	18.9
RG	Aph_woodhouseii_19203	NC_091013.1	1453578	1470752	17175	117	72.9
RG	Aph_woodhouseii_19203	NC_091013.1	1556365	1560541	4177	26	8.3
RG	Aph_woodhouseii_19203	NC_091013.1	1561730	1592931	31202	133	76.1
RG	Aph_woodhouseii_19203	NC_091013.1	2524528	2534309	9782	57	64.6
RG	Aph_woodhouseii_19203	NC_091013.1	2858620	2896779	38160	182	77.1
RG	Aph_woodhouseii_19203	NC_091013.1	3498838	3504081	5244	52	15.5
RG	Aph_woodhouseii_19203	NC_091013.1	3807617	3855876	48260	309	90.2
RG	Aph_woodhouseii_19203	NC_091013.1	3922452	3931945	9494	55	60.7
RG	Aph_woodhouseii_19203	NC_091013.1	3956901	3962089	5189	40	42.8
RG	Aph_woodhouseii_19203	NC_091013.1	4456101	4462624	6524	39	38.7
RG	Aph_woodhouseii_19203	NC_091013.1	4471384	4479519	8136	43	48.6
RG	Aph_woodhouseii_19203	NC_091013.1	5629316	5636405	7090	42	44.1
RG	Aph_woodhouseii_19203	NC_091013.1	6243528	6258698	15171	89	73.7
RG	Aph_woodhouseii_19203	NC_091013.1	6417034	6425298	8265	46	38.7
RG	Aph_woodhouseii_19203	NC_091013.1	9172794	9182406	9613	68	43.7
RG	Aph_woodhouseii_19203	NC_091013.1	9972949	9980946	7998	57	57.3
RG	Aph_woodhouseii_19203	NC_091013.1	10121542	10124959	3418	48	17.0
RG	Aph_woodhouseii_19203	NC_091013.1	10213194	10230738	17545	172	80.4
RG	Aph_woodhouseii_19203	NC_091013.1	10369801	10372616	2816	47	11.1
RG	Aph_woodhouseii_19203	NC_091013.1	10659806	10668675	8870	62	20.9
RG	Aph_woodhouseii_19203	NC_091013.1	10679294	10685243	5950	72	57.3
RG	Aph_woodhouseii_19203	NC_091013.1	11024758	11031395	6638	58	31.6
RG	Aph_woodhouseii_19203	NC_091013.1	11175550	11181691	6142	59	47.3
